iata,icao,type,name,city,iso_region,region_name,iso_country,country,lat,lon,importance
MGT,YMGB,small_airport,Milingimbi Airport,Milingimbi Island,AU-NT,Northern Territory,AU,Australia,-12.0944004059,134.893997192,15
MNG,YMGD,medium_airport,Maningrida Airport,Maningrida,AU-NT,Northern Territory,AU,Australia,-12.0560998917,134.23399353,25
HBA,YMHB,large_airport,Hobart International Airport,Hobart (Cambridge),AU-TAS,Tasmania,AU,Australia,-42.837032,147.513022,35
MCV,YMHU,small_airport,McArthur River Mine Airport,McArthur River Mine,AU-NT,Northern Territory,AU,Australia,-16.4424991608,136.083999634,15
MQL,YMIA,medium_airport,Mildura Airport,Mildura,AU-VIC,Victoria,AU,Australia,-34.229198455799995,142.085998535,25
LST,YMLT,medium_airport,Launceston Airport,Launceston (Western Junction),AU-TAS,Tasmania,AU,Australia,-41.544935,147.210785,25
MBW,YMMB,medium_airport,Melbourne Moorabbin Airport,Melbourne,AU-VIC,Victoria,AU,Australia,-37.977765,145.099799,25
MEL,YMML,large_airport,Melbourne Airport,Melbourne,AU-VIC,Victoria,AU,Australia,-37.670732,144.837898,35
WME,YMNE,medium_airport,Mount Keith Airport,,AU-WA,Western Australia,AU,Australia,-27.28733,120.554937,20
MMG,YMOG,medium_airport,Mount Magnet Airport,,AU-WA,Western Australia,AU,Australia,-28.116100311279297,117.84200286865234,25
MRZ,YMOR,medium_airport,Moree Airport,Moree,AU-NSW,New South Wales,AU,Australia,-29.498899459799997,149.845001221,25
MOV,YMRB,medium_airport,Moranbah Airport,Moranbah,AU-QLD,Queensland,AU,Australia,-22.057800293,148.07699585,25
RRE,YMRE,medium_airport,Marree Airport,,AU-SA,South Australia,AU,Australia,-29.6633,138.065002,20
MYA,YMRY,medium_airport,Moruya Airport,Moruya,AU-NSW,New South Wales,AU,Australia,-35.8978004456,150.143997192,25
MGB,YMTG,medium_airport,Mount Gambier Airport,Mount Gambier,AU-SA,South Australia,AU,Australia,-37.744382,140.780561,25
